horas_trabajadas;masculino;edad_ingreso;colegio_publico;argentino;activo_primer_anio;activo_segundo_anio;anios_en_unlu;aprobadas_1er_anio;anios_cursados;c_promociones_1er_anio;c_libres_1er_anio;c_regulares_1er_anio;c_ausentes_1er_anio;c_noausentes_1er_anio;cursadas_ap_1er_anio;cursadas_1er_anio;cambio_universidad;cambio_carrera;progresar;fracaso_academico
0;1;17;0;1;1;1;4;1;3;0;5;0;1;5;0;6;0;1;0;1
0;1;17;0;1;1;0;1;0;1;0;4;0;0;4;0;4;0;0;0;1
0;1;17;1;1;1;1;2;1;2;1;1;1;0;3;2;3;0;1;0;0
5;0;19;0;1;1;1;4;7;3;7;0;1;0;9;8;9;1;0;1;0
0;0;18;0;1;1;1;4;10;3;8;0;1;1;9;9;10;0;0;0;0
8;1;19;1;1;1;1;4;0;3;0;3;0;0;3;0;3;0;0;1;1
35;1;19;1;1;1;0;1;0;1;0;3;0;0;3;0;3;0;0;0;1
0;1;18;1;1;1;0;1;0;1;0;4;0;0;4;0;4;0;0;1;1
0;1;17;0;1;1;0;1;0;1;0;0;0;4;0;0;4;0;0;0;0
0;1;20;1;1;1;0;1;0;1;0;4;0;0;4;0;4;0;0;0;1
0;0;18;0;1;1;1;3;3;3;1;2;4;0;7;5;7;0;0;0;0
0;0;18;0;1;1;1;4;9;3;7;1;2;0;10;9;10;0;0;0;0
0;1;17;1;1;1;0;1;0;1;0;4;0;0;4;0;4;0;0;0;1
0;1;18;1;1;1;0;1;0;1;0;0;0;4;0;0;4;0;0;0;0
0;0;18;0;1;1;1;3;3;3;2;3;2;1;7;4;8;0;0;0;0
20;0;19;1;1;1;1;4;6;3;2;1;4;0;7;6;7;0;0;0;0
0;0;23;1;1;1;1;4;4;3;1;1;4;1;6;5;7;0;0;0;0
0;1;19;1;1;1;0;1;0;1;0;0;0;4;1;0;5;0;0;0;0
0;0;17;0;1;1;1;2;10;2;10;0;0;1;10;10;11;1;0;0;0
0;1;18;0;1;1;1;4;1;3;0;4;2;0;7;2;7;0;0;1;1
8;0;41;1;1;1;0;4;0;1;0;0;0;3;0;0;3;0;0;0;0
44;1;18;0;1;1;1;2;0;2;0;4;0;1;4;0;5;0;0;0;1
0;0;17;1;1;1;0;1;0;1;0;1;0;4;2;0;6;0;0;0;0
0;0;18;1;1;1;0;3;0;3;0;0;0;3;0;0;3;0;1;1;0
0;0;17;0;1;1;0;1;0;1;0;1;1;1;2;1;3;0;0;0;0
25;1;20;1;1;1;1;2;0;2;0;3;2;1;5;2;6;0;0;0;0
0;1;18;1;1;1;1;4;5;3;1;2;4;0;8;5;8;0;0;0;0
0;1;18;0;1;1;1;2;2;2;0;1;4;0;7;4;7;0;0;0;0
0;1;18;0;1;1;1;3;6;3;2;2;5;0;9;7;9;1;0;0;0
0;0;18;1;1;1;0;1;0;1;0;3;2;1;5;2;6;0;0;0;0
0;1;17;0;1;1;0;1;0;1;0;2;0;1;2;0;3;0;0;1;1
44;0;18;0;1;1;0;1;3;1;3;2;0;4;5;3;9;0;0;0;0
8;0;33;0;1;1;0;1;0;1;0;0;0;3;0;0;3;0;0;0;0
8;0;18;1;1;1;1;3;3;3;3;5;0;1;8;3;9;0;0;0;1
0;0;18;0;1;1;1;4;5;3;3;1;2;0;6;5;6;0;0;1;0
20;0;46;1;1;1;0;1;1;1;1;1;0;1;2;1;3;0;0;0;0
0;0;18;0;1;1;1;4;3;3;3;2;2;1;7;5;8;0;0;0;0
22;0;25;1;1;1;0;1;0;1;0;0;0;3;1;0;4;0;0;0;0
0;0;17;0;1;1;1;4;7;3;3;0;4;0;7;7;7;0;0;1;0
0;1;18;0;1;1;1;3;0;3;0;5;2;0;8;2;8;0;1;0;1
0;1;18;1;1;1;1;4;4;3;0;2;5;0;7;5;7;0;0;0;0
0;1;20;0;1;1;1;3;2;3;0;1;2;2;4;2;6;0;0;0;0
0;1;19;1;1;1;1;3;1;3;1;2;1;0;4;2;4;0;1;1;0
0;0;19;0;1;1;0;1;0;1;0;3;0;2;3;0;5;0;1;0;1
30;1;28;1;1;1;0;1;0;1;0;0;0;3;0;0;3;0;0;0;0
0;1;22;1;1;1;1;3;2;3;2;3;3;3;8;5;11;1;0;0;0
0;1;19;0;1;1;1;4;1;3;0;4;0;0;4;0;4;0;0;0;1
6;0;17;0;1;1;1;4;4;3;0;1;6;1;8;6;9;0;1;0;0
0;1;25;1;1;1;0;1;1;1;0;3;3;3;7;3;10;1;0;0;0
0;1;17;0;1;1;1;4;0;3;0;4;2;0;6;2;6;0;1;0;1
12;1;17;1;1;1;1;4;4;3;2;2;3;0;7;5;7;0;0;0;0
0;1;18;1;1;1;1;3;0;3;0;3;1;0;5;1;5;0;0;1;1
10;1;17;1;0;1;1;4;1;3;0;2;4;0;6;4;6;0;0;0;0
0;0;17;0;1;1;1;2;1;2;1;3;1;1;6;2;7;0;0;0;0
0;1;18;0;1;1;1;4;6;3;4;2;2;0;8;6;8;0;0;0;0
40;0;49;0;1;1;1;3;2;3;2;0;2;2;5;4;7;0;0;0;0
4;0;31;1;1;1;1;3;1;3;0;2;3;1;5;3;6;0;0;0;0
0;0;18;1;1;1;1;3;0;3;0;4;1;2;5;1;7;0;1;1;1
20;0;18;0;1;1;1;4;0;3;0;4;3;1;7;3;8;0;1;0;0
36;1;30;1;1;1;1;4;0;3;0;2;1;1;3;1;4;0;1;0;0
